"Self_employed","Org_size","Mental_ill","Is_tech","Benefits","Anonymity","Absence","Coworkers","Ment_phy","Age","Gender","US_state","Country","US_state_work"
"No","26-100","Yes","Yes","Not eligible for coverage / N/A","I don't know","Very easy","Maybe","I don't know",39,"Male","","United Kingdom",""
"No","6-25","Yes","Yes","No","Yes","Somewhat easy","Maybe","Yes",29,"Male","Illinois","United States of America","Illinois"
"No","6-25","No","Yes","No","I don't know","Neither easy nor difficult","Maybe","I don't know",38,"Male","","United Kingdom",""
"Yes","","Yes",NA,"","","","","",43,"Male","","United Kingdom",""
"No","6-25","Yes","No","Yes","No","Neither easy nor difficult","Maybe","No",43,"Female","Illinois","United States of America","Illinois"
"No","More than 1000","No","Yes","Yes","Yes","Somewhat easy","Maybe","No",42,"Male","","United Kingdom",""
"No","26-100","No","Yes","I don't know","I don't know","Somewhat easy","Maybe","Yes",30,"Male","Tennessee","United States of America","Tennessee"
"No","More than 1000","Yes","Yes","Yes","Yes","Very easy","Maybe","I don't know",37,"Female","Virginia","United States of America","Virginia"
"No","26-100","Yes","No","I don't know","I don't know","Very difficult","Yes","No",44,"Female","California","United States of America","California"
"Yes","","Yes",NA,"","","","","",30,"Male","Kentucky","United States of America","Kentucky"
"No","26-100","Yes","Yes","Yes","Yes","Very easy","Maybe","Yes",28,"Male","Oregon","United States of America","Oregon"
"No","100-500","Yes","No","Yes","I don't know","Somewhat difficult","No","No",34,"Male","Pennsylvania","United States of America","Pennsylvania"
"No","100-500","Yes","Yes","Yes","Yes","Very easy","Yes","Yes",30,"Female","New Jersey","United States of America","New Jersey"
"No","100-500","No","No","Yes","Yes","Somewhat easy","No","Yes",44,"Male","","Canada",""
"No","100-500","Yes","Yes","Yes","Yes","Very easy","Yes","No",35,"Male","Georgia","United States of America","Georgia"
"No","100-500","Yes","Yes","I don't know","I don't know","Neither easy nor difficult","Maybe","I don't know",52,"Male","Oregon","United States of America","Oregon"
"No","26-100","Yes","Yes","Not eligible for coverage / N/A","I don't know","Very difficult","Maybe","No",32,"Female","","Canada",""
"No","500-1000","No","Yes","No","I don't know","I don't know","Yes","No",34,"Male","","United Kingdom",""
"Yes","","Yes",NA,"","","","","",25,"Female","Washington","United States of America","Washington"
"No","100-500","Yes","No","I don't know","I don't know","I don't know","No","Yes",31,"Male","New Jersey","United States of America","New York"
"No","6-25","No","Yes","No","I don't know","Very easy","Maybe","I don't know",26,"Male","New York","United States of America","New York"
"No","More than 1000","No","No","Yes","I don't know","Somewhat easy","Maybe","I don't know",35,"Male","Indiana","United States of America","Indiana"
"No","26-100","No","Yes","Yes","I don't know","Very easy","Maybe","I don't know",25,"Male","","Germany",""
"No","1-5","Yes","Yes","Yes","I don't know","Somewhat difficult","Maybe","I don't know",33,"Male","","Canada",""
"Yes","","No",NA,"","","","","",38,"Male","New York","United States of America","New York"
"No","100-500","No","No","Yes","Yes","Very easy","Maybe","Yes",42,"Male","","Germany",""
"No","26-100","Yes","No","No","I don't know","Very difficult","No","No",27,"Male","","Netherlands",""
"No","100-500","No","Yes","I don't know","I don't know","Somewhat difficult","No","I don't know",35,"Male","","Germany",""
"No","500-1000","No","No","I don't know","I don't know","Neither easy nor difficult","Maybe","I don't know",34,"Female","","United Kingdom",""
"No","6-25","Yes","Yes","Not eligible for coverage / N/A","Yes","Somewhat easy","Yes","Yes",32,"Others","","United Kingdom",""
"No","100-500","Yes","Yes","Not eligible for coverage / N/A","I don't know","Somewhat easy","Maybe","No",32,"Others","","Germany",""
"No","100-500","Yes","Yes","Yes","Yes","Very easy","Yes","Yes",30,"Male","New York","United States of America","New York"
"No","More than 1000","No","Yes","I don't know","I don't know","Very easy","No","No",31,"Male","Minnesota","United States of America","Minnesota"
"Yes","","No",NA,"","","","","",37,"Male","","Czech Republic",""
"No","26-100","No","Yes","Yes","Yes","Very easy","Maybe","Yes",36,"Male","","United Kingdom",""
"No","100-500","No","Yes","No","I don't know","Somewhat easy","No","I don't know",33,"Male","","Germany",""
"No","26-100","Yes","Yes","Yes","Yes","Very easy","Yes","Yes",44,"Male","Washington","United States of America","Washington"
"No","100-500","No","Yes","No","I don't know","Somewhat easy","Yes","Yes",29,"Male","","United Kingdom",""
"No","100-500","Yes","Yes","No","I don't know","Somewhat easy","Maybe","I don't know",29,"Male","","United Kingdom",""
"No","More than 1000","No","Yes","Yes","I don't know","Neither easy nor difficult","Yes","I don't know",44,"Male","","Canada",""
"Yes","","No",NA,"","","","","",34,"Male","Georgia","United States of America","Georgia"
"No","100-500","No","Yes","Yes","Yes","Somewhat easy","Maybe","No",40,"Male","Minnesota","United States of America","Minnesota"
"No","More than 1000","No","Yes","Yes","Yes","Somewhat difficult","Yes","No",46,"Female","","Netherlands",""
"Yes","","No",NA,"","","","","",28,"Male","","Lithuania",""
"No","More than 1000","No","No","No","No","Somewhat difficult","No","No",41,"Male","Georgia","United States of America","Georgia"
"No","6-25","Yes","Yes","Yes","I don't know","Somewhat easy","Maybe","No",33,"Male","Kentucky","United States of America","Kentucky"
"Yes","","Yes",NA,"","","","","",32,"Male","West Virginia","United States of America","Ohio"
"No","6-25","No","Yes","I don't know","I don't know","I don't know","No","I don't know",45,"Male","Virginia","United States of America","Virginia"
"Yes","","Yes",NA,"","","","","",43,"Male","","United Kingdom",""
"No","6-25","Yes","Yes","Yes","Yes","Very easy","Yes","I don't know",37,"Female","California","United States of America","California"
"No","26-100","Yes","Yes","No","I don't know","Somewhat easy","No","I don't know",37,"Male","","Australia",""
"No","6-25","No","Yes","Yes","Yes","Very easy","Yes","I don't know",27,"Male","California","United States of America","California"
"Yes","","No",NA,"","","","","",31,"Male","","Netherlands",""
"No","More than 1000","Yes","Yes","Yes","I don't know","Somewhat difficult","Maybe","Yes",36,"Male","California","United States of America","California"
"No","500-1000","Yes","No","Yes","I don't know","I don't know","Maybe","I don't know",34,"Male","Florida","United States of America","Florida"
"No","More than 1000","No","No","Yes","I don't know","Somewhat difficult","Yes","I don't know",31,"Female","Massachusetts","United States of America","Massachusetts"
"No","26-100","Yes","Yes","Yes","I don't know","Somewhat easy","Yes","Yes",30,"Male","Oregon","United States of America","Oregon"
"No","100-500","No","No","Yes","Yes","Somewhat difficult","Maybe","No",32,"Male","","Canada",""
"No","6-25","No","No","Yes","I don't know","Somewhat difficult","No","I don't know",40,"Female","North Dakota","United States of America","North Dakota"
"No","100-500","No","No","I don't know","I don't know","Neither easy nor difficult","Maybe","I don't know",40,"Male","Tennessee","United States of America","Tennessee"
"No","More than 1000","No","Yes","Yes","I don't know","Neither easy nor difficult","Maybe","No",41,"Male","","France",""
"No","26-100","Yes","No","Not eligible for coverage / N/A","I don't know","Very difficult","No","No",27,"Male","","United Kingdom",""
"No","26-100","No","Yes","Yes","I don't know","Somewhat easy","Yes","I don't know",30,"Male","New York","United States of America","New York"
"Yes","","No",NA,"","","","","",29,"Male","","Venezuela",""
"Yes","","No",NA,"","","","","",38,"Male","","United Kingdom",""
"Yes","","No",NA,"","","","","",35,"Male","","Netherlands",""
"No","6-25","Yes","No","No","I don't know","Somewhat difficult","Maybe","No",35,"Female","Indiana","United States of America","Indiana"
"No","More than 1000","Yes","Yes","Yes","I don't know","Neither easy nor difficult","No","I don't know",29,"Male","Texas","United States of America","Texas"
"No","100-500","No","Yes","Yes","Yes","I don't know","No","I don't know",28,"Male","New York","United States of America","New York"
"No","26-100","Yes","No","No","Yes","Very easy","No","Yes",27,"Male","","Netherlands",""
"Yes","","No",NA,"","","","","",39,"Male","","Poland",""
"No","100-500","No","Yes","Yes","I don't know","Neither easy nor difficult","Maybe","I don't know",28,"Male","","Belgium",""
"No","6-25","No","No","I don't know","I don't know","Very difficult","No","No",46,"Male","Texas","United States of America","Texas"
"No","1-5","Yes","Yes","No","I don't know","Very easy","Yes","I don't know",40,"Male","","Netherlands",""
"No","26-100","No","Yes","Yes","Yes","Very easy","Maybe","Yes",37,"Male","Tennessee","United States of America","Tennessee"
"No","26-100","No","Yes","No","I don't know","Very easy","Maybe","I don't know",41,"Male","","Netherlands",""
"Yes","","No",NA,"","","","","",19,"Male","","France",""
"No","6-25","No","Yes","I don't know","No","Somewhat easy","Yes","Yes",38,"Female","","Netherlands",""
"No","26-100","No","Yes","I don't know","I don't know","Somewhat difficult","No","No",33,"Male","Maryland","United States of America","District of Columbia"
"No","26-100","Yes","Yes","Yes","Yes","Very easy","Maybe","Yes",33,"Male","Wisconsin","United States of America","Tennessee"
"No","1-5","No","Yes","Yes","Yes","I don't know","Maybe","I don't know",21,"Male","","United Kingdom",""
"No","1-5","No","Yes","No","I don't know","Very difficult","No","I don't know",36,"Male","","Brazil",""
"Yes","","Yes",NA,"","","","","",39,"Male","","Canada",""
"No","26-100","No","Yes","I don't know","Yes","Somewhat easy","Maybe","Yes",35,"Male","Illinois","United States of America","Illinois"
"Yes","","Yes",NA,"","","","","",36,"Male","","France",""
"No","6-25","No","Yes","Yes","I don't know","Neither easy nor difficult","No","No",45,"Male","Michigan","United States of America","Michigan"
"No","26-100","No","Yes","I don't know","I don't know","Somewhat difficult","Maybe","No",41,"Male","","Canada",""
"No","26-100","Yes","Yes","I don't know","I don't know","Somewhat difficult","No","No",35,"Male","","United Kingdom",""
"Yes","","Yes",NA,"","","","","",30,"Male","Texas","United States of America","Texas"
"No","26-100","Yes","Yes","I don't know","Yes","Very easy","Maybe","Yes",24,"Female","Illinois","United States of America","Illinois"
"No","100-500","Yes","No","No","I don't know","I don't know","No","I don't know",33,"Male","","Brazil",""
"No","More than 1000","Yes","Yes","Yes","I don't know","Neither easy nor difficult","Maybe","I don't know",35,"Male","Washington","United States of America","Washington"
"No","6-25","No","Yes","No","I don't know","Neither easy nor difficult","Maybe","Yes",26,"Male","","United Kingdom",""
"No","6-25","No","Yes","No","I don't know","Somewhat difficult","No","No",17,"Male","","Brazil",""
"No","6-25","Yes","No","I don't know","I don't know","Neither easy nor difficult","Maybe","I don't know",29,"Female","North Dakota","United States of America","North Dakota"
"No","100-500","Yes","Yes","Yes","I don't know","Neither easy nor difficult","Maybe","I don't know",26,"Male","California","United States of America","California"
"No","26-100","No","Yes","I don't know","I don't know","Very easy","Maybe","I don't know",36,"Female","Vermont","United States of America","Vermont"
"No","26-100","No","Yes","I don't know","Yes","I don't know","No","Yes",46,"Male","Illinois","United States of America","Illinois"
"Yes","","No",NA,"","","","","",39,"Male","","Netherlands",""
"No","100-500","Yes","Yes","Yes","I don't know","Somewhat difficult","Maybe","No",28,"Female","California","United States of America","California"
"No","500-1000","No","Yes","Yes","I don't know","Neither easy nor difficult","No","I don't know",40,"Male","Washington","United States of America","Washington"
"No","100-500","Yes","Yes","I don't know","I don't know","I don't know","Maybe","No",23,"Male","Pennsylvania","United States of America","Pennsylvania"
"No","6-25","No","Yes","I don't know","I don't know","Neither easy nor difficult","Yes","I don't know",30,"Male","North Carolina","United States of America","North Carolina"
"No","26-100","No","Yes","I don't know","I don't know","Very easy","No","I don't know",28,"Female","Illinois","United States of America","Illinois"
"No","26-100","No","Yes","No","I don't know","Somewhat difficult","Maybe","No",27,"Male","","Netherlands",""
"Yes","","Yes",NA,"","","","","",31,"Male","Indiana","United States of America","Indiana"
"No","26-100","No","Yes","Yes","I don't know","Somewhat difficult","Maybe","No",39,"Female","North Carolina","United States of America","North Carolina"
"No","More than 1000","Yes","Yes","Yes","Yes","I don't know","Maybe","No",34,"Female","New York","United States of America","New York"
"No","6-25","Yes","Yes","Yes","Yes","Very easy","No","Yes",30,"Male","North Carolina","United States of America","North Carolina"
"Yes","","Yes",NA,"","","","","",30,"Male","","Denmark",""
"No","100-500","No","No","I don't know","I don't know","Somewhat easy","Yes","I don't know",31,"Male","Indiana","United States of America","Missouri"
"No","26-100","Yes","Yes","Yes","Yes","Very easy","Yes","Yes",30,"Male","California","United States of America","California"
"No","More than 1000","No","Yes","Yes","I don't know","Somewhat difficult","No","I don't know",32,"Male","Kansas","United States of America","Kansas"
"Yes","","No",NA,"","","","","",22,"Male","","Czech Republic",""
"Yes","","Yes",NA,"","","","","",37,"Female","","Belgium",""
"No","26-100","No","No","Yes","Yes","I don't know","Maybe","I don't know",51,"Male","Indiana","United States of America","Indiana"
"No","26-100","Yes","No","I don't know","I don't know","I don't know","Maybe","I don't know",26,"Male","Tennessee","United States of America","Tennessee"
"No","26-100","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes",41,"Female","Minnesota","United States of America","Minnesota"
"No","100-500","Yes","Yes","I don't know","I don't know","Neither easy nor difficult","Maybe","I don't know",39,"Female","District of Columbia","United States of America","District of Columbia"
"No","6-25","Yes","Yes","Yes","No","Neither easy nor difficult","No","I don't know",43,"Male","Tennessee","United States of America","Tennessee"
"No","500-1000","No","Yes","I don't know","I don't know","Neither easy nor difficult","Yes","I don't know",30,"Male","","United Kingdom",""
"No","26-100","No","Yes","Yes","I don't know","Very easy","Maybe","Yes",24,"Female","Illinois","United States of America","Illinois"
"Yes","","Yes",NA,"","","","","",30,"Male","","Netherlands",""
"No","26-100","Yes","No","No","I don't know","Somewhat difficult","No","I don't know",28,"Female","","Germany",""
"Yes","","Yes",NA,"","","","","",48,"Female","Washington","United States of America","Washington"
"Yes","","No",NA,"","","","","",55,"Female","Nevada","United States of America","Nevada"
"No","1-5","No","No","I don't know","I don't know","Very difficult","Yes","I don't know",36,"Female","Indiana","United States of America","Indiana"
"Yes","","No",NA,"","","","","",38,"Male","","Netherlands",""
"No","100-500","No","Yes","I don't know","I don't know","Very easy","Yes","I don't know",34,"Male","","France",""
"No","26-100","No","Yes","Yes","No","Somewhat easy","No","Yes",44,"Female","Illinois","United States of America","Illinois"
"No","More than 1000","Yes","No","I don't know","I don't know","Very difficult","No","I don't know",45,"Male","Georgia","United States of America","Georgia"
"No","6-25","Yes","Yes","Yes","I don't know","Somewhat difficult","Maybe","No",45,"Male","Oregon","United States of America","Oregon"
"No","500-1000","Yes","Yes","No","I don't know","Somewhat difficult","Maybe","No",30,"Male","Utah","United States of America","Utah"
"No","More than 1000","Yes","No","Yes","Yes","I don't know","Maybe","I don't know",34,"Male","Tennessee","United States of America","Tennessee"
"No","More than 1000","No","Yes","I don't know","I don't know","Neither easy nor difficult","Maybe","Yes",37,"Male","Connecticut","United States of America","Connecticut"
"No","More than 1000","No","No","Yes","Yes","I don't know","No","I don't know",38,"Male","Tennessee","United States of America","Tennessee"
"No","26-100","Yes","Yes","Yes","I don't know","I don't know","No","Yes",31,"Male","Virginia","United States of America","Virginia"
"No","26-100","No","Yes","I don't know","I don't know","Somewhat easy","Yes","I don't know",33,"Male","Florida","United States of America","Florida"
"No","100-500","Yes","Yes","Yes","I don't know","Somewhat difficult","No","No",29,"Female","New York","United States of America","New York"
"No","100-500","Yes","Yes","Yes","Yes","Somewhat easy","Yes","I don't know",35,"Male","California","United States of America","California"
"No","1-5","Yes","Yes","No","No","Very difficult","No","I don't know",42,"Female","","Canada",""
"No","26-100","No","Yes","I don't know","I don't know","I don't know","No","I don't know",26,"Female","Illinois","United States of America","Illinois"
"No","500-1000","Yes","Yes","Yes","I don't know","I don't know","Maybe","Yes",36,"Female","Maryland","United States of America","Maryland"
"No","26-100","Yes","Yes","I don't know","I don't know","I don't know","Maybe","I don't know",21,"Male","","United Kingdom",""
"No","26-100","Yes","Yes","Yes","No","Somewhat easy","No","Yes",34,"Female","Washington","United States of America","Washington"
"Yes","","No",NA,"","","","","",40,"Male","","Germany",""
"No","26-100","Yes","Yes","Yes","I don't know","Very difficult","Maybe","No",35,"Male","Indiana","United States of America","Indiana"
"No","6-25","No","Yes","Yes","No","Somewhat easy","Yes","Yes",44,"Male","Oregon","United States of America","Oregon"
"No","6-25","Yes","Yes","I don't know","I don't know","Somewhat difficult","Yes","Yes",35,"Others","","Canada",""
"No","More than 1000","No","Yes","No","I don't know","Very difficult","No","No",45,"Male","Michigan","United States of America","Michigan"
"No","More than 1000","Yes","No","Yes","Yes","Very easy","Maybe","Yes",42,"Male","Illinois","United States of America","Illinois"
"Yes","","Yes",NA,"","","","","",40,"Male","Colorado","United States of America","Colorado"
"Yes","","Yes",NA,"","","","","",50,"Female","Michigan","United States of America","Michigan"
"No","100-500","No","Yes","Yes","I don't know","I don't know","Maybe","I don't know",36,"Male","Illinois","United States of America","New York"
"Yes","","Yes",NA,"","","","","",31,"Female","Minnesota","United States of America","Minnesota"
"No","26-100","No","Yes","I don't know","I don't know","Very easy","Yes","I don't know",29,"Male","Oregon","United States of America","Oregon"
"No","100-500","No","Yes","Yes","I don't know","Somewhat easy","Yes","I don't know",37,"Male","California","United States of America","California"
"No","26-100","Yes","Yes","No","Yes","Very difficult","Maybe","I don't know",31,"Male","California","United States of America","California"
"No","More than 1000","No","No","I don't know","I don't know","Somewhat difficult","No","No",42,"Male","","Canada",""
"No","500-1000","No","Yes","Yes","Yes","Somewhat easy","No","No",25,"Male","Indiana","United States of America","Indiana"
"No","6-25","Yes","Yes","Yes","Yes","Very easy","Maybe","Yes",27,"Male","California","United States of America","California"
"No","More than 1000","Yes","No","Yes","I don't know","Somewhat difficult","Maybe","Yes",41,"Female","Ohio","United States of America","Ohio"
"No","100-500","No","Yes","Yes","I don't know","Somewhat easy","Maybe","I don't know",41,"Female","California","United States of America","California"
"No","More than 1000","No","No","Yes","Yes","Very easy","No","Yes",55,"Female","California","United States of America","California"
"No","More than 1000","No","Yes","Yes","Yes","Neither easy nor difficult","Maybe","No",21,"Male","California","United States of America","California"
"No","More than 1000","No","No","I don't know","I don't know","Very easy","No","Yes",37,"Male","","Netherlands",""
"No","More than 1000","No","No","I don't know","Yes","Very easy","Maybe","I don't know",34,"Female","","Netherlands",""
"No","More than 1000","No","No","Yes","I don't know","I don't know","No","I don't know",40,"Male","","United Kingdom",""
"Yes","","No",NA,"","","","","",25,"Male","","Netherlands",""
"No","More than 1000","No","No","Yes","I don't know","Somewhat easy","No","I don't know",36,"Male","","Germany",""
"No","26-100","No","Yes","No","No","Somewhat easy","Yes","No",25,"Male","","Germany",""
"No","100-500","No","Yes","I don't know","I don't know","Neither easy nor difficult","Maybe","I don't know",35,"Male","Florida","United States of America","Florida"
"No","6-25","No","Yes","No","I don't know","Neither easy nor difficult","Maybe","I don't know",37,"Male","North Carolina","United States of America","North Carolina"
